Group,Age,Age_Energy,Per day,house_1,house_2,house_3,house_4
Children,4-8 y,7–10,2000,1,0,0,0
Males,9-13 y,11–14,2500,0,1,0,0
Males,14-18 y,15–18,3000,1,0,0,0
Males,19-30 y,25–50,2900,0,0,0,2
Males,31-50 y,25–50,2900,1,0,0,0
Females,9-13 y,11–14,2200,1,1,0,0
Females,19-30 y,25–50,2200,0,1,0,0
Females,31-50 y,25–50,2200,1,0,0,0
Females,51-70 y,51+,1900,1,0,0,0
Females,>70 y,51+,1900,0,0,1,0
