nutrients;person;lowerbound;upperbound
Calories;1;0;2200
Protein;1;46;0
Carb;1;130;0
Fat;1;0;0
Fiber;1;25;0
LinoleicAcid;1;12;0
Alfa-linolenicAcid;1;1.1;0
Calcium;1;1000;0
Copper;1;900;0
Iron;1;18;0
Magnesium;1;320;0
Phosphorus;1;700;0
Selenium;1;55;0
Zinc;1;8;0
Potassium;1;2600;0
Sodium;1;1500;0
VitaminA;1;700;0
VitaminC;1;75;0
VitaminD;1;15;0
VitaminE;1;15;0
VitaminK;1;90;0
Thiamin;1;1.1;0
Riboflavin;1;1.1;0
Niacin;1;14;0
VitaminB6;1;1.3;0
Folate;1;0;0
VitaminB12;1;2.4;0
Choline;1;425;0
Calories;2;0;2900
Protein;2;56;0
Carb;2;130;0
Fat;2;0;0
Fiber;2;38;0
LinoleicAcid;2;17;0
Alfa-linolenicAcid;2;1.6;0
Calcium;2;1000;0
Copper;2;900;0
Iron;2;8;0
Magnesium;2;420;0
Phosphorus;2;700;0
Selenium;2;55;0
Zinc;2;11;0
Potassium;2;3400;0
Sodium;2;1500;0
VitaminA;2;900;0
VitaminC;2;90;0
VitaminD;2;15;0
VitaminE;2;15;0
VitaminK;2;120;0
Thiamin;2;1.2;0
Riboflavin;2;1.3;0
Niacin;2;16;0
VitaminB6;2;1.3;0
Folate;2;400;0
VitaminB12;2;2.4;0
Choline;2;550;0
Calories;3;0;2000
Protein;3;19;0
Carb;3;130;0
Fat;3;0;0
Fiber;3;25;0
LinoleicAcid;3;10;0
Alfa-linolenicAcid;3;0.9;0
Calcium;3;1000;0
Copper;3;440;0
Iron;3;10;0
Magnesium;3;130;0
Phosphorus;3;500;0
Selenium;3;30;0
Zinc;3;5;0
Potassium;3;2300;0
Sodium;3;1000;0
VitaminA;3;400;0
VitaminC;3;25;0
VitaminD;3;15;0
VitaminE;3;7;0
VitaminK;3;55;0
Thiamin;3;0.6;0
Riboflavin;3;0.6;0
Niacin;3;8;0
VitaminB6;3;0.6;0
Folate;3;200;0
VitaminB12;3;1.2;0
Choline;3;250;0
Calories;4;0;2200
Protein;4;34;0
Carb;4;130;0
Fat;4;0;0
Fiber;4;26;0
LinoleicAcid;4;10;0
Alfa-linolenicAcid;4;1;0
Calcium;4;1300;0
Copper;4;700;0
Iron;4;8;0
Magnesium;4;240;0
Phosphorus;4;1250;0
Selenium;4;40;0
Zinc;4;8;0
Potassium;4;2300;0
Sodium;4;1200;0
VitaminA;4;600;0
VitaminC;4;45;0
VitaminD;4;15;0
VitaminE;4;11;0
VitaminK;4;60;0
Thiamin;4;0.9;0
Riboflavin;4;0.9;0
Niacin;4;12;0
VitaminB6;4;1;0
Folate;4;300;0
VitaminB12;4;1.8;0
Choline;4;375;0
Calories;5;0;3000
Protein;5;52;0
Carb;5;130;0
Fat;5;0;0
Fiber;5;38;0
LinoleicAcid;5;16;0
Alfa-linolenicAcid;5;1.6;0
Calcium;5;1300;0
Copper;5;890;0
Iron;5;11;0
Magnesium;5;410;0
Phosphorus;5;1250;0
Selenium;5;55;0
Zinc;5;11;0
Potassium;5;3000;0
Sodium;5;1500;0
VitaminA;5;900;0
VitaminC;5;75;0
VitaminD;5;15;0
VitaminE;5;15;0
VitaminK;5;75;0
Thiamin;5;1.2;0
Riboflavin;5;1.3;0
Niacin;5;16;0
VitaminB6;5;1.3;0
Folate;5;400;0
VitaminB12;5;2.4;0
Choline;5;550;0
Calories;6;0;1900
Protein;6;46;0
Carb;6;130;0
Fat;6;0;0
Fiber;6;21;0
LinoleicAcid;6;11;0
Alfa-linolenicAcid;6;1.1;0
Calcium;6;1200;0
Copper;6;900;0
Iron;6;8;0
Magnesium;6;320;0
Phosphorus;6;700;0
Selenium;6;55;0
Zinc;6;8;0
Potassium;6;2600;0
Sodium;6;1500;0
VitaminA;6;700;0
VitaminC;6;75;0
VitaminD;6;15;0
VitaminE;6;15;0
VitaminK;6;90;0
Thiamin;6;1.1;0
Riboflavin;6;1.1;0
Niacin;6;14;0
VitaminB6;6;1.5;0
Folate;6;400;0
VitaminB12;6;2.4;0
Choline;6;425;0
