,Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg)
656,Skillet Pasta Dinner,308,6,1,28,277,47,7,7,16,0,75,3,496,2,2,2,0.1,5,3,283,55,190,38,2,164,0.4,0.4,13,2,21,151,0.8,0.4,6,52
336,Full of Beans Hot Dish,304,6,2,36,441,43,8,16,21,0,86,4,708,2,1,0,0.2,0,0,333,74,279,14,4,5,0.3,1.3,4,1,6,103,0.2,0.2,3,77
419,Kale Salad with Yogurt Dressing,304,22,3,1,129,17,4,4,18,0,200,4,714,9,7,6,0.2,0,0,1400,198,461,5,3,345,0.3,0,104,2,484,43,0.1,0.2,2,26
839,Yogurt Berry Parfait,304,9,2,6,89,46,5,30,11,1,240,2,613,3,3,3,0.2,0,0,259,87,320,15,2,17,0.3,0.7,19,4,7,52,0.3,0.4,1,40
554,Pineapple Chicken,303,6,2,141,240,8,0,7,52,0,32,2,485,2,1,1,0.1,17,33,126,55,380,46,2,11,1,0,5,0,1,9,0.2,0.2,23,144
565,Potato Nachos,302,10,3,39,294,39,6,4,16,0,157,3,1157,3,2,2,0.2,6,3,340,71,288,14,2,76,0.8,0,50,1,25,58,0.2,0.2,5,56
236,Curried Chicken Salad,301,18,4,96,438,7,2,5,27,0,48,2,377,6,7,2,0.1,10,51,122,35,210,30,3,35,0.4,0.4,3,1,37,18,0.1,0.3,7,77
306,Fresh Tomato Sauce,301,5,1,3,83,52,5,6,12,0,100,3,524,2,2,1,0.2,0,0,262,51,166,38,1,126,0.3,0.1,34,1,22,196,0.5,0.3,3,23
801,Uncooked Tomato Sauce,301,5,1,3,80,52,5,6,12,0,97,2,546,2,1,1,0.1,0,0,271,51,168,38,1,93,0.3,0.1,37,1,23,197,0.5,0.3,4,24
38,"Avocado, Potato, and Grilled Chicken Salad",300,11,2,40,280,34,6,6,19,0,60,2,1228,7,2,1,0.1,6,11,0,78,296,0,2,37,1,0.3,0,2,45,79,0.2,0.2,10,81
385,Herbed Garden Pizza,300,17,3,5,300,42,8,0,10,0,200,3,430,5,1,1,0.1,0,0,276,59,264,25,2,123,0.3,0.2,12,2,82,62,0.2,0.2,3,27
808,Vegetable Soup with Chicken,300,4,1,38,305,49,9,9,21,0,56,2,789,2,1,1,0.1,6,106,218,62,226,11,2,609,0.5,0,26,0,0,0,0,0,0,0
650,Simple Green Smoothie,299,4,2,0,156,56,7,38,13,1,454,2,1119,0,0,0,0,0,0,659,83,363,10,2,263,0.5,0,0,1,242,0,0.2,0.6,2,56
760,Three Sisters Stew,298,6,3,26,321,48,9,7,17,0,71,3,933,2,1,1,0.1,0,0,335,71,235,9,3,43,0.5,0,18,2,18,72,0.2,0.2,6,69
