Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Crispy Oven Baked Fries,112,4,0,0,6,19,2,1,2,0,13,1,448,1,2,1,0.2,0,0,115,24,61,0,0,0,0.3,0,21,0,6,17,0.1,0,1,13,0,0,0,0,0,0,0
Crispy Taquitos,273,6,1,19,282,43,7,5,14,0,139,1,447,2,2,2,0.2,1,1,192,75,373,12,1,39,0.5,0.1,30,1,23,32,0.1,0.2,4,36,0,0,0,0,0,0,0
Crunchy Berry Parfait,396,4,1,2,197,86,7,50,11,2,217,3,486,1,1,1,0.1,0,0,471,68,294,13,5,260,2.4,7.3,17,2,29,776,0.5,0.8,6,38,0,0,0,0,0,0,0
Crunchy Chicken Salad,123,2,1,53,284,8,1,6,17,0,38,0,354,1,0,0,0,2,3,76,24,157,18,1,11,0.5,0.2,9,0,8,14,0.1,0.2,6,47,0,0,0,0,0,0,0
Crustless Pumpkin Pie,218,7,1,48,175,34,2,26,7,1,174,2,314,3,2,2,0.2,0,7,95,33,156,8,1,492,0.1,0.3,3,1,13,26,0.1,0.3,1,56,0,0,0,0,0,0,0
Crusty Rice with Tofu and Vegetables,389,13,2,0,215,54,8,6,17,0,279,4,486,4,7,2,0.2,0,0,498,137,342,27,3,188,0.4,0,11,1,81,84,0.4,0.2,4,68,0,0,0,0,0,0,0
Cuban Beans and Rice,384,4,1,0,299,72,15,4,18,0,109,5,858,2,1,1,0.1,0,0,601,136,375,16,2,7,0.5,0.1,34,2,10,128,0.5,0.2,5,64,0,0,0,0,0,0,0
Cucumber Yogurt Dip II,70,5,3,17,74,3,0,3,3,0,73,0,116,1,0,0,0,0,0,20,9,63,1,0,57,0,0.2,1,0,2,7,0,0.1,0,10,0,0,0,0,0,0,0
Curried Chicken Salad,301,18,4,96,438,7,2,5,27,0,48,2,377,6,7,2,0.1,10,51,122,35,210,30,3,35,0.4,0.4,3,1,37,18,0.1,0.3,7,77,0,0,0,0,0,0,0
Curried Chicken with Raisins and Mushrooms,440,6,1,55,410,71,6,24,27,0,63,4,965,3,2,1,0.1,10,9,574,101,458,45,2,30,1,0.5,22,1,6,32,0.3,0.5,20,117,0,0,0,0,0,0,0
Curried Potatoes,132,8,1,0,116,15,2,1,2,0,16,1,367,3,3,2,0.5,0,0,98,20,52,0,0,77,0.2,0,18,2,11,15,0.1,0,1,12,0,0,0,0,0,0,0
Curried Potatoes with Red Lentils,270,14,10,5,344,31,7,5,8,0,43,3,689,2,1,0,0,0,0,357,57,183,5,1,170,0.4,0,18,1,4,108,0.2,0.1,2,33,0,0,0,0,0,0,0
Curried Squash Stew,234,6,1,0,167,41,9,10,9,0,134,4,713,1,3,1,0,0,0,342,69,156,4,1,283,0.9,0,20,4,20,75,0.2,0.2,2,37,0,0,0,0,0,0,0
Curry Dip,22,0,0,2,35,4,0,1,1,0,52,0,66,0,0,0,0,0,0,8,6,41,1,0,12,0,0.1,0,0,0,4,0,0.1,0,6,0,0,0,0,0,0,0
Curry Vegetable Dip,15,1,0,1,20,2,0,1,1,0,27,0,41,0,0,0,0,0,0,3,3,23,1,0,19,0,0.1,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0
Curtido Salvadoreno (Cabbage Salad),46,1,0,0,321,9,3,5,2,0,54,1,253,0,0,0,0,0,0,34,17,37,0,0,110,0.2,0,43,0,89,53,0.1,0.1,0,14,0,0,0,0,0,0,0
Dave’s Herb-Stuffed Mushrooms,149,5,1,0,199,22,5,6,6,0,51,2,431,3,1,1,0.1,0,0,314,32,124,8,1,4,0.2,0,7,1,15,58,0.2,0.3,3,30,0,0,0,0,0,0,0
Deep Dish Apple Cranberry Pie,158,1,0,0,15,37,4,27,1,0,11,0,137,0,0,0,0,0,0,53,8,22,1,0,4,0.1,0,0,1,4,0,0.1,0.1,0,6,0,0,0,0,0,0,0
Delicious Greens,70,4,1,0,18,8,3,3,2,0,84,1,307,3,0,0,0,0,0,111,24,52,1,0,76,0.2,0,50,2,155,26,0.1,0.1,1,7,0,0,0,0,0,0,0
Delicious Lentil Stew,221,4,2,8,413,36,14,7,13,0,77,0,825,1,0,0,0.1,0,0,421,65,279,4,2,420,0.4,0,13,1,15,267,0.6,0.2,2,54,0,0,0,0,0,5000,0
Delicious Tacos,69,1,0,0,304,14,2,2,2,0,27,1,163,0,0,0,0,0,0,109,23,100,3,0,24,0.2,0,23,0,1,14,0.1,0.1,1,8,0,0,0,0,0,0,0
Deviled Eggs,134,12,3,190,178,0,0,0,6,1,29,1,71,3,5,4,0.5,0,29,38,6,101,16,1,81,0.1,0.5,0,1,15,24,0,0.2,0,150,0,0,0,0,0,0,0
Dirty Rice,308,10,2,65,131,43,4,3,12,0,37,2,267,3,3,2,0.3,0,0,231,75,204,20,2,16,0.3,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
Dried Bananas,61,0,0,0,1,16,2,8,1,0,3,0,243,0,0,0,0,0,0,53,18,15,1,0,2,0.3,0,6,0,0,14,0,0.1,0,7,0,0,0,0,0,0,0
Drop Biscuits (from Better Baking Mix),123,6,1,0,108,14,1,1,3,0,54,1,73,2,3,2,0.3,0,0,46,15,70,0,1,14,0,0.1,0,1,6,36,0.1,0.1,1,7,0,0,6000,0,0,0,0
