nutrients;person;lowerbound;upperbound
Calories;1;0;2900
Protein;1;56;0
Carb;1;130;0
Fat;1;0;0
Fiber;1;38;0
LinoleicAcid;1;17;0
Alfa-linolenicAcid;1;1.6;0
Calcium;1;1000;0
Copper;1;900;0
Iron;1;8;0
Magnesium;1;400;0
Phosphorus;1;700;0
Selenium;1;55;0
Zinc;1;11;0
Potassium;1;3400;0
Sodium;1;1500;0
VitaminA;1;900;0
VitaminC;1;90;0
VitaminD;1;15;0
VitaminE;1;15;0
VitaminK;1;120;0
Thiamin;1;1.2;0
Riboflavin;1;1.3;0
Niacin;1;16;0
VitaminB6;1;1.3;0
Folate;1;400;0
VitaminB12;1;2.4;0
Choline;1;550;0
Calories;2;0;2200
Protein;2;46;0
Carb;2;130;0
Fat;2;0;0
Fiber;2;25;0
LinoleicAcid;2;12;0
Alfa-linolenicAcid;2;1.1;0
Calcium;2;1000;0
Copper;2;900;0
Iron;2;18;0
Magnesium;2;310;0
Phosphorus;2;700;0
Selenium;2;55;0
Zinc;2;8;0
Potassium;2;2600;0
Sodium;2;1500;0
VitaminA;2;700;0
VitaminC;2;75;0
VitaminD;2;15;0
VitaminE;2;15;0
VitaminK;2;90;0
Thiamin;2;1.1;0
Riboflavin;2;1.1;0
Niacin;2;14;0
VitaminB6;2;1.3;0
Folate;2;0;0
VitaminB12;2;2.4;0
Choline;2;425;0
